name,record_id,instrument,chapter,filename,VIS_rmse,VIS_variance,VIS_coverage,NIR_rmse,NIR_variance,NIR_coverage,SWIR_rmse,SWIR_variance,SWIR_coverage,MWIR_rmse,MWIR_variance,MWIR_coverage,LWIR_rmse,LWIR_variance,LWIR_coverage
"MoS2 (Islam-fewL)",Islam-fewL,RefractiveIndex.info,main,Islam-fewL.yml,0.015527,0.963980,1.000000,0.001617,0.961762,1.000000,0.001246,0.987478,0.428571,0.000223,1.000000,0.000000,0.000427,1.000000,0.000000
"MoS2 (Islam-o)",Islam-o,RefractiveIndex.info,main,Islam-o.yml,0.001866,0.997217,1.000000,0.000649,0.993885,1.000000,0.000345,0.989329,0.428571,0.000377,1.000000,0.000000,0.000542,1.000000,0.000000
"MoS2 (Jung)",Jung,RefractiveIndex.info,main,Jung.yml,0.007282,0.982864,0.927209,0.001111,0.961290,0.354406,0.000237,1.000000,0.000000,0.000227,1.000000,0.000000,0.000267,1.000000,0.000000
"MoS2 (Munkhbat-o)",Munkhbat-o,RefractiveIndex.info,main,Munkhbat-o.yml,0.011082,0.944451,1.000000,0.000848,0.994467,1.000000,0.001103,0.929002,0.421429,0.000147,1.000000,0.000000,0.000186,1.000000,0.000000
"MoS2 (Song-10L)",Song-10L,RefractiveIndex.info,main,Song-10L.yml,0.001995,0.998025,1.000000,0.000503,0.997421,1.000000,0.000520,0.996592,0.421429,0.000421,1.000000,0.000000,0.000273,1.000000,0.000000
"MoS2 (Song-13L)",Song-13L,RefractiveIndex.info,main,Song-13L.yml,0.001458,0.999005,1.000000,0.000616,0.996206,1.000000,0.001014,0.976568,0.421429,0.000167,1.000000,0.000000,0.000182,1.000000,0.000000
"MoS2 (Song-1L)",Song-1L,RefractiveIndex.info,main,Song-1L.yml,0.007038,0.990804,1.000000,0.000620,0.996516,1.000000,0.000820,0.971069,0.421429,0.000310,1.000000,0.000000,0.000224,1.000000,0.000000
"MoS2 (Song-3L)",Song-3L,RefractiveIndex.info,main,Song-3L.yml,0.002862,0.996670,1.000000,0.000461,0.996124,1.000000,0.000406,0.995995,0.421429,0.000417,1.000000,0.000000,0.000250,1.000000,0.000000
"MoS2 (Song-4L)",Song-4L,RefractiveIndex.info,main,Song-4L.yml,0.002364,0.997904,1.000000,0.000480,0.996824,1.000000,0.000495,0.996363,0.421429,0.000416,1.000000,0.000000,0.000467,1.000000,0.000000
"MoS2 (Song-6L)",Song-6L,RefractiveIndex.info,main,Song-6L.yml,0.002075,0.998325,1.000000,0.000653,0.996184,1.000000,0.000379,0.990939,0.421429,0.000146,1.000000,0.000000,0.000185,1.000000,0.000000
"MoS2 (Song-8L)",Song-8L,RefractiveIndex.info,main,Song-8L.yml,0.001680,0.998834,1.000000,0.000625,0.996001,1.000000,0.001051,0.976427,0.421429,0.000128,1.000000,0.000000,0.000166,1.000000,0.000000
"MoS2 (Song-bulk)",Song-bulk,RefractiveIndex.info,main,Song-bulk.yml,0.004681,0.988826,1.000000,0.000743,0.996495,1.000000,0.000698,0.996042,0.421429,0.000240,1.000000,0.000000,0.000200,1.000000,0.000000
"MoS2 (Zhang)",Zhang,RefractiveIndex.info,main,Zhang.yml,0.010510,0.958040,0.813953,0.000285,1.000000,0.000000,0.000327,1.000000,0.000000,0.000430,1.000000,0.000000,0.000568,1.000000,0.000000
"MoS2 (Zotev-e)",Zotev-e,RefractiveIndex.info,main,Zotev-e.yml,0.000148,0.998926,0.976744,0.000149,1.000000,0.687500,0.000153,1.000000,0.000000,0.000133,1.000000,0.000000,0.000159,1.000000,0.000000
"MoS2 (Zotev-o)",Zotev-o,RefractiveIndex.info,main,Zotev-o.yml,0.000313,0.963646,0.976744,0.000477,1.000000,0.687500,0.000575,1.000000,0.000000,0.000481,1.000000,0.000000,0.000260,1.000000,0.000000
"MoSe2 (Beal)",Beal,RefractiveIndex.info,main,Beal.yml,0.004227,0.987186,1.000000,0.001463,0.986070,1.000000,0.000231,1.000000,0.097143,0.000207,1.000000,0.000000,0.000240,1.000000,0.000000
"MoSe2 (Hsu-1L)",Hsu-1L,RefractiveIndex.info,main,Hsu-1L.yml,0.008168,0.948950,0.890767,0.005771,0.816109,0.240531,0.000539,1.000000,0.000000,0.000440,1.000000,0.000000,0.000450,1.000000,0.000000
"MoSe2 (Hsu-2L)",Hsu-2L,RefractiveIndex.info,main,Hsu-2L.yml,0.008415,0.915351,0.890767,0.003716,0.891449,0.240531,0.000534,1.000000,0.000000,0.000425,1.000000,0.000000,0.000482,1.000000,0.000000
"MoSe2 (Hsu-3L)",Hsu-3L,RefractiveIndex.info,main,Hsu-3L.yml,0.007018,0.992168,0.890767,0.004766,0.651385,0.240531,0.000239,1.000000,0.000000,0.000272,1.000000,0.000000,0.000325,1.000000,0.000000
"MoSe2 (Munkhbat-o)",Munkhbat-o,RefractiveIndex.info,main,Munkhbat-o.yml,0.011082,0.944451,1.000000,0.000848,0.994467,1.000000,0.001103,0.929002,0.421429,0.000147,1.000000,0.000000,0.000186,1.000000,0.000000
"MoSe2 (Zotev-e)",Zotev-e,RefractiveIndex.info,main,Zotev-e.yml,0.000148,0.998926,0.976744,0.000149,1.000000,0.687500,0.000153,1.000000,0.000000,0.000133,1.000000,0.000000,0.000159,1.000000,0.000000
"MoSe2 (Zotev-o)",Zotev-o,RefractiveIndex.info,main,Zotev-o.yml,0.000313,0.963646,0.976744,0.000477,1.000000,0.687500,0.000575,1.000000,0.000000,0.000481,1.000000,0.000000,0.000260,1.000000,0.000000
"MoTe2 (Beal)",Beal,RefractiveIndex.info,main,Beal.yml,0.004227,0.987186,1.000000,0.001463,0.986070,1.000000,0.000231,1.000000,0.097143,0.000207,1.000000,0.000000,0.000240,1.000000,0.000000
"MoTe2 (Munkhbat-o)",Munkhbat-o,RefractiveIndex.info,main,Munkhbat-o.yml,0.011082,0.944451,1.000000,0.000848,0.994467,1.000000,0.001103,0.929002,0.421429,0.000147,1.000000,0.000000,0.000186,1.000000,0.000000
"Na (Althoff)",Althoff,RefractiveIndex.info,main,Althoff.yml,0.000676,1.000000,0.000000,0.000591,1.000000,0.000000,0.000420,1.000000,0.000000,0.001708,-0.001894,1.000000,0.000994,1.000000,0.429412
"Na (Inagaki-liquid)",Inagaki-liquid,RefractiveIndex.info,main,Inagaki-liquid.yml,0.000576,0.997321,1.000000,0.000556,1.000000,1.000000,0.000477,1.000000,0.642857,0.000219,1.000000,0.000000,0.000167,1.000000,0.000000
"Na (Inagaki)",Inagaki,RefractiveIndex.info,main,Inagaki.yml,0.000816,0.952144,1.000000,0.000594,1.000000,1.000000,0.000534,0.996651,1.000000,0.001588,0.989008,0.924802,0.000407,1.000000,0.000000
"Na (Ives)",Ives,RefractiveIndex.info,main,Ives.yml,0.006592,0.998983,0.530233,0.000642,1.000000,0.000000,0.000521,1.000000,0.000000,0.000783,1.000000,0.000000,0.000459,1.000000,0.000000
"Na (Monin)",Monin,RefractiveIndex.info,main,Monin.yml,0.005643,0.999340,0.627907,0.000844,1.000000,0.000000,0.000671,1.000000,0.000000,0.000548,1.000000,0.000000,0.000413,1.000000,0.000000
"Na (Smith)",Smith,RefractiveIndex.info,main,Smith.yml,0.003023,0.999775,1.000000,0.001387,0.997551,1.000000,0.000943,0.999318,0.943976,0.000263,1.000000,0.000000,0.000188,1.000000,0.000000
"Na (Yamaguchi)",Yamaguchi,RefractiveIndex.info,main,Yamaguchi.yml,0.002852,0.994578,0.581395,0.000658,1.000000,0.000000,0.000433,1.000000,0.000000,0.000317,1.000000,0.000000,0.000211,1.000000,0.000000
