name,record_id,instrument,chapter,filename,VIS_rmse,VIS_variance,VIS_coverage,NIR_rmse,NIR_variance,NIR_coverage,SWIR_rmse,SWIR_variance,SWIR_coverage,MWIR_rmse,MWIR_variance,MWIR_coverage,LWIR_rmse,LWIR_variance,LWIR_coverage
"Jadeite Na(Al,Fe+3)Si2O6 (jadeite_1)",jadeite_1,becknic,mineral,mineral.silicate.inosilicate.fine.tir.jadeite_1.jhu.nicolet.spectrum.txt,0.000211,1.000000,0.000000,0.000580,1.000000,0.000000,0.001159,0.979352,0.300357,0.004204,0.992386,1.000000,0.008572,0.999044,1.000000
"Pectolite NaCa2Si308(OH) (pectol_2)",pectol_2,becknic,mineral,mineral.silicate.inosilicate.fine.tir.pectol_2.jhu.nicolet.spectrum.txt,0.000395,1.000000,0.000000,0.000695,1.000000,0.000000,0.001349,0.876973,0.300357,0.002394,0.998563,1.000000,0.017750,0.993345,1.000000
"Rhodonite (Mn+2,Fe+2,Mg,Ca)SiO3 (rhodon_1)",rhodon_1,becknic,mineral,mineral.silicate.inosilicate.fine.tir.rhodon_1.jhu.nicolet.spectrum.txt,0.000179,1.000000,0.000000,0.000559,1.000000,0.000000,0.001086,0.994319,0.300357,0.001888,0.997363,1.000000,0.011909,0.997306,1.000000
"Richterite Na2Ca(Mg,Fe+2)5Si8O22(OH)2 (richter_1)",richter_1,becknic,mineral,mineral.silicate.inosilicate.fine.tir.richter_1.jhu.nicolet.spectrum.txt,0.000242,1.000000,0.000000,0.000690,1.000000,0.000000,0.000966,0.594135,0.300357,0.001840,0.993566,1.000000,0.007187,0.998906,1.000000
"Riebeckite Na2(Fe+2,Mg)3Fe2+3Si8O22(OH)2 (riebeck_1)",riebeck_1,becknic,mineral,mineral.silicate.inosilicate.fine.tir.riebeck_1.jhu.nicolet.spectrum.txt,0.000311,1.000000,0.000000,0.000275,1.000000,0.000000,0.002070,0.981191,0.300357,0.003145,0.996635,1.000000,0.004420,0.999456,1.000000
"Spodumene LiAlSi2O6 (spodum_1)",spodum_1,becknic,mineral,mineral.silicate.inosilicate.fine.tir.spodum_1.jhu.nicolet.spectrum.txt,0.000597,1.000000,0.000000,0.000644,1.000000,0.000000,0.001023,0.000000,0.300357,0.002770,0.996928,1.000000,0.011033,0.998102,1.000000
"Tremolite Ca2(Mg, Fe+2)5Si8O22(OH)2 (tremol_1)",tremol_1,becknic,mineral,mineral.silicate.inosilicate.fine.tir.tremol_1.jhu.nicolet.spectrum.txt,0.000182,1.000000,0.000000,0.000487,1.000000,0.000000,0.001431,0.900670,0.300357,0.003516,0.980659,1.000000,0.015195,0.996239,1.000000
"Tremolite Ca2(Mg, Fe+2)5Si8O22(OH)2 (tremol_2)",tremol_2,becknic,mineral,mineral.silicate.inosilicate.fine.tir.tremol_2.jhu.nicolet.spectrum.txt,0.000186,1.000000,0.000000,0.000495,1.000000,0.000000,0.001305,0.981997,0.300357,0.001954,0.992006,1.000000,0.008751,0.998712,1.000000
"Wollastonite CaSiO3 (wollasto_1)",wollasto_1,becknic,mineral,mineral.silicate.inosilicate.fine.tir.wollasto_1.jhu.nicolet.spectrum.txt,0.000180,1.000000,0.000000,0.000490,1.000000,0.000000,0.001303,0.984992,0.300357,0.001791,0.996454,1.000000,0.019598,0.994376,1.000000
"Enstatite Mg_2(SiO_3)_2 (IN-10B)",IN-10B,becknic,mineral,mineral.silicate.inosilicate.fine.vswir.in-10b.jpl.beckman.spectrum.txt,0.002075,0.993613,0.883721,0.007606,0.988922,1.000000,0.001736,0.997783,1.000000,0.000801,1.000000,0.000000,0.000549,1.000000,0.000000
"Enstatite Mg_2(SiO_3)_2 (IN-10B)",IN-10B,becknic,mineral,mineral.silicate.inosilicate.fine.vswir.in-10b.jpl.perkin.spectrum.txt,0.002218,0.993319,0.883721,0.005975,0.992129,1.000000,0.001616,0.998065,1.000000,0.000645,1.000000,0.000000,0.000677,1.000000,0.000000
"Johannsenite Ca(Mn,Fe^2+)(SiO_3)_2 (IN-12A)",IN-12A,becknic,mineral,mineral.silicate.inosilicate.fine.vswir.in-12a.jpl.beckman.spectrum.txt,0.000769,0.999750,0.883721,0.000926,0.997843,1.000000,0.001651,0.999719,1.000000,0.000746,1.000000,0.000000,0.000599,1.000000,0.000000
"Johannsenite Ca(Mn,Fe^2+)(SiO_3)_2 (IN-12A)",IN-12A,becknic,mineral,mineral.silicate.inosilicate.fine.vswir.in-12a.jpl.perkin.spectrum.txt,0.000413,0.999894,0.883721,0.001116,0.996623,1.000000,0.001798,0.999657,1.000000,0.000723,1.000000,0.000000,0.000550,1.000000,0.000000
"Spodumene LiAlS_2O_6 (IN-13A)",IN-13A,becknic,mineral,mineral.silicate.inosilicate.fine.vswir.in-13a.jpl.beckman.spectrum.txt,0.000903,0.999586,0.883721,0.001485,0.602363,1.000000,0.000980,0.953967,1.000000,0.000569,1.000000,0.000000,0.000497,1.000000,0.000000
"Spodumene LiAlS_2O_6 (IN-13A)",IN-13A,becknic,mineral,mineral.silicate.inosilicate.fine.vswir.in-13a.jpl.perkin.spectrum.txt,0.001135,0.999506,0.883721,0.001120,-0.161533,1.000000,0.000999,0.993290,1.000000,0.000403,1.000000,0.000000,0.000655,1.000000,0.000000
"Hypersthene (Mg,Fe^2+)_2Si_2O_6 (IN-14A)",IN-14A,becknic,mineral,mineral.silicate.inosilicate.fine.vswir.in-14a.jpl.beckman.spectrum.txt,0.001901,0.998398,0.883721,0.004366,0.993334,1.000000,0.002227,0.996211,1.000000,0.000693,1.000000,0.000000,0.000563,1.000000,0.000000
"Hypersthene (Mg,Fe^2+)_2Si_2O_6 (IN-14A)",IN-14A,becknic,mineral,mineral.silicate.inosilicate.fine.vswir.in-14a.jpl.perkin.spectrum.txt,0.001558,0.998950,0.883721,0.005182,0.990730,1.000000,0.001801,0.997198,1.000000,0.000814,1.000000,0.000000,0.000549,1.000000,0.000000
"Augite (Ca,Na)(Mg,Fe,Al,Ti)(Si,Al)_2O_6 (IN-15A)",IN-15A,becknic,mineral,mineral.silicate.inosilicate.fine.vswir.in-15a.jpl.beckman.spectrum.txt,0.003738,0.986563,0.883721,0.001001,0.983139,1.000000,0.001959,0.999704,1.000000,0.000696,1.000000,0.000000,0.000555,1.000000,0.000000
"Rhodonite (Mn,Ca)SiO_3 (IN-1A)",IN-1A,becknic,mineral,mineral.silicate.inosilicate.fine.vswir.in-1a.jpl.beckman.spectrum.txt,0.002524,0.999337,0.883721,0.005094,0.996135,1.000000,0.002378,0.996277,1.000000,0.000591,1.000000,0.000000,0.000729,1.000000,0.000000
"Rhodonite (Mn,Ca)SiO_3 (IN-1A)",IN-1A,becknic,mineral,mineral.silicate.inosilicate.fine.vswir.in-1a.jpl.perkin.spectrum.txt,0.001768,0.999710,0.883721,0.006899,0.991245,1.000000,0.002714,0.996060,1.000000,0.000598,1.000000,0.000000,0.000754,1.000000,0.000000
"Wollastonite CaSiO_3 (IN-2A)",IN-2A,becknic,mineral,mineral.silicate.inosilicate.fine.vswir.in-2a.jpl.beckman.spectrum.txt,0.001033,0.996725,0.883721,0.000825,0.978118,1.000000,0.000845,0.981096,1.000000,0.000455,1.000000,0.000000,0.000644,1.000000,0.000000
"Wollastonite CaSiO_3 (IN-2A)",IN-2A,becknic,mineral,mineral.silicate.inosilicate.fine.vswir.in-2a.jpl.perkin.spectrum.txt,0.000572,0.999289,0.883721,0.000791,0.988681,1.000000,0.000973,0.995093,1.000000,0.000492,1.000000,0.000000,0.000645,1.000000,0.000000
"Glaucophane Na_2(Mg,Fe^2+)_3Al_2Si_8O_22(OH)_2 (IN-3A)",IN-3A,becknic,mineral,mineral.silicate.inosilicate.fine.vswir.in-3a.jpl.beckman.spectrum.txt,0.001353,0.998487,0.883721,0.001186,0.995775,1.000000,0.001533,0.998036,1.000000,0.000704,1.000000,0.000000,0.000554,1.000000,0.000000
"Glaucophane Na_2(Mg,Fe^2+)_3Al_2Si_8O_22(OH)_2 (IN-3A)",IN-3A,becknic,mineral,mineral.silicate.inosilicate.fine.vswir.in-3a.jpl.perkin.spectrum.txt,0.001447,0.998125,0.883721,0.001133,0.995741,1.000000,0.001593,0.997790,1.000000,0.000821,1.000000,0.000000,0.000549,1.000000,0.000000
"Actinolite Ca_2(Mg,Fe^2+)_5Si_8O_22(OH)_2 (IN-4A)",IN-4A,becknic,mineral,mineral.silicate.inosilicate.fine.vswir.in-4a.jpl.beckman.spectrum.txt,0.001993,0.997744,0.883721,0.012608,0.889613,1.000000,0.002597,0.998390,1.000000,0.000605,1.000000,0.000000,0.000751,1.000000,0.000000
"Actinolite Ca_2(Mg,Fe^2+)_5Si_8O_22(OH)_2 (IN-4A)",IN-4A,becknic,mineral,mineral.silicate.inosilicate.fine.vswir.in-4a.jpl.perkin.spectrum.txt,0.001744,0.998414,0.883721,0.012637,0.902412,1.000000,0.005009,0.995397,1.000000,0.000602,1.000000,0.000000,0.000666,1.000000,0.000000
"Tremolite Ca_2(Mg,Fe^2+)_5Si_8O_22(OH)_2 (IN-5A)",IN-5A,becknic,mineral,mineral.silicate.inosilicate.fine.vswir.in-5a.jpl.beckman.spectrum.txt,0.001108,0.996595,0.883721,0.001105,0.925817,1.000000,0.002282,0.990065,1.000000,0.000592,1.000000,0.000000,0.000623,1.000000,0.000000
"Tremolite Ca_2(Mg,Fe^2+)_5Si_8O_22(OH)_2 (IN-5A)",IN-5A,becknic,mineral,mineral.silicate.inosilicate.fine.vswir.in-5a.jpl.perkin.spectrum.txt,0.000646,0.999041,0.883721,0.000959,0.959848,1.000000,0.003665,0.986783,1.000000,0.000628,1.000000,0.000000,0.000609,1.000000,0.000000
"Cummingtonite (Mg,Fe^2+)_7Si_8O_22(OH)_2 (IN-6A)",IN-6A,becknic,mineral,mineral.silicate.inosilicate.fine.vswir.in-6a.jpl.beckman.spectrum.txt,0.001244,0.997302,0.883721,0.004056,0.947886,1.000000,0.000834,0.995408,1.000000,0.000368,1.000000,0.000000,0.000555,1.000000,0.000000
"Cummingtonite (Mg,Fe^2+)_7Si_8O_22(OH)_2 (IN-6A)",IN-6A,becknic,mineral,mineral.silicate.inosilicate.fine.vswir.in-6a.jpl.perkin.spectrum.txt,0.000554,0.999429,0.883721,0.004136,0.953801,1.000000,0.000981,0.993423,1.000000,0.000368,1.000000,0.000000,0.000547,1.000000,0.000000
"Riebeckite Na_2(Fe^2+,Mg)_3,Fe_2^3+Si_8O_22(OH)_2 (IN-7A)",IN-7A,becknic,mineral,mineral.silicate.inosilicate.fine.vswir.in-7a.jpl.beckman.spectrum.txt,0.001464,0.992004,0.883721,0.001761,0.997753,1.000000,0.003116,0.999549,1.000000,0.000392,1.000000,0.000000,0.000633,1.000000,0.000000
"Riebeckite Na_2(Fe^2+,Mg)_3,Fe_2^3+Si_8O_22(OH)_2 (IN-7A)",IN-7A,becknic,mineral,mineral.silicate.inosilicate.fine.vswir.in-7a.jpl.perkin.spectrum.txt,0.000957,0.994920,0.883721,0.001339,0.998349,1.000000,0.003518,0.999388,1.000000,0.000600,1.000000,0.000000,0.000754,1.000000,0.000000
"Anthophyllite (Mg,Fe^2+)_7Si_8O_22(OH)_2 (IN-8A)",IN-8A,becknic,mineral,mineral.silicate.inosilicate.fine.vswir.in-8a.jpl.beckman.spectrum.txt,0.001269,0.997065,0.883721,0.006036,0.963683,1.000000,0.001656,0.998358,1.000000,0.000746,1.000000,0.000000,0.000599,1.000000,0.000000
"Anthophyllite (Mg,Fe^2+)_7Si_8O_22(OH)_2 (IN-8A)",IN-8A,becknic,mineral,mineral.silicate.inosilicate.fine.vswir.in-8a.jpl.perkin.spectrum.txt,0.000500,0.999741,0.883721,0.006443,0.969611,1.000000,0.002358,0.997498,1.000000,0.000766,1.000000,0.000000,0.000543,1.000000,0.000000
"Diopside CaMg(SiO_3)_2 (IN-9B)",IN-9B,becknic,mineral,mineral.silicate.inosilicate.fine.vswir.in-9b.jpl.beckman.spectrum.txt,0.001414,0.999135,0.883721,0.002412,0.670512,1.000000,0.001062,0.994105,1.000000,0.000721,1.000000,0.000000,0.000542,1.000000,0.000000
"Diopside CaMg(SiO_3)_2 (IN-9B)",IN-9B,becknic,mineral,mineral.silicate.inosilicate.fine.vswir.in-9b.jpl.perkin.spectrum.txt,0.001367,0.999244,0.883721,0.002327,0.797525,1.000000,0.001508,0.988774,1.000000,0.000680,1.000000,0.000000,0.000549,1.000000,0.000000
"Enstatite Mg_2(SiO_3)_2 (IN-10B)",IN-10B,becknic,mineral,mineral.silicate.inosilicate.medium.tir.in-10b.jpl.nicolet.spectrum.txt,0.000493,1.000000,0.000000,0.000446,1.000000,0.000000,0.002238,0.998899,0.356929,0.005136,0.997981,1.000000,0.008640,0.977578,1.000000
"Johannsenite Ca(Mn,Fe^2+)(SiO_3)_2 (IN-12A)",IN-12A,becknic,mineral,mineral.silicate.inosilicate.medium.tir.in-12a.jpl.nicolet.spectrum.txt,0.000493,1.000000,0.000000,0.000704,1.000000,0.000000,0.001998,0.994803,0.356929,0.005147,0.996325,1.000000,0.002941,0.990237,1.000000
"Spodumene LiAlS_2O_6 (IN-13A)",IN-13A,becknic,mineral,mineral.silicate.inosilicate.medium.tir.in-13a.jpl.nicolet.spectrum.txt,0.000181,1.000000,0.000000,0.000489,1.000000,0.000000,0.001311,0.930212,0.356929,0.010024,0.998786,1.000000,0.012898,0.986004,1.000000
"Rhodonite (Mn,Ca)SiO_3 (IN-1A)",IN-1A,becknic,mineral,mineral.silicate.inosilicate.medium.tir.in-1a.jpl.nicolet.spectrum.txt,0.000356,1.000000,0.000000,0.000711,1.000000,0.000000,0.001582,0.983141,0.356929,0.006608,0.998781,1.000000,0.007075,0.975672,1.000000
"Wollastonite CaSiO_3 (IN-2A)",IN-2A,becknic,mineral,mineral.silicate.inosilicate.medium.tir.in-2a.jpl.nicolet.spectrum.txt,0.000178,1.000000,0.000000,0.000527,1.000000,0.000000,0.001497,0.982294,0.356929,0.012452,0.996793,1.000000,0.013596,0.936193,1.000000
"Glaucophane Na_2(Mg,Fe^2+)_3Al_2Si_8O_22(OH)_2 (IN-3A)",IN-3A,becknic,mineral,mineral.silicate.inosilicate.medium.tir.in-3a.jpl.nicolet.spectrum.txt,0.000384,1.000000,0.000000,0.000944,1.000000,0.000000,0.003300,0.997079,0.356929,0.004873,0.998051,1.000000,0.005409,0.985401,1.000000
"Actinolite Ca_2(Mg,Fe^2+)_5Si_8O_22(OH)_2 (IN-4A)",IN-4A,becknic,mineral,mineral.silicate.inosilicate.medium.tir.in-4a.jpl.nicolet.spectrum.txt,0.000288,1.000000,0.000000,0.000402,1.000000,0.000000,0.006244,0.995576,0.356929,0.011556,0.996717,1.000000,0.009512,0.984334,1.000000
"Tremolite Ca_2(Mg,Fe^2+)_5Si_8O_22(OH)_2 (IN-5A)",IN-5A,becknic,mineral,mineral.silicate.inosilicate.medium.tir.in-5a.jpl.nicolet.spectrum.txt,0.000192,1.000000,0.000000,0.000743,1.000000,0.000000,0.010896,0.983316,0.356929,0.015830,0.995635,1.000000,0.010571,0.982147,1.000000
"Cummingtonite (Mg,Fe^2+)_7Si_8O_22(OH)_2 (IN-6A)",IN-6A,becknic,mineral,mineral.silicate.inosilicate.medium.tir.in-6a.jpl.nicolet.spectrum.txt,0.000319,1.000000,0.000000,0.000295,1.000000,0.000000,0.000780,0.992753,0.356929,0.001326,0.996801,1.000000,0.003983,0.993167,1.000000
"Riebeckite Na_2(Fe^2+,Mg)_3,Fe_2^3+Si_8O_22(OH)_2 (IN-7A)",IN-7A,becknic,mineral,mineral.silicate.inosilicate.medium.tir.in-7a.jpl.nicolet.spectrum.txt,0.000474,1.000000,0.000000,0.000931,1.000000,0.000000,0.003715,0.949008,0.356929,0.007949,0.998192,1.000000,0.005080,0.990266,1.000000
"Anthophyllite (Mg,Fe^2+)_7Si_8O_22(OH)_2 (IN-8A)",IN-8A,becknic,mineral,mineral.silicate.inosilicate.medium.tir.in-8a.jpl.nicolet.spectrum.txt,0.000377,1.000000,0.000000,0.000549,1.000000,0.000000,0.005970,0.988389,0.356929,0.006961,0.997924,1.000000,0.006951,0.987494,1.000000
