name,record_id,instrument,chapter,filename,VIS_rmse,VIS_variance,VIS_coverage,NIR_rmse,NIR_variance,NIR_coverage,SWIR_rmse,SWIR_variance,SWIR_coverage,MWIR_rmse,MWIR_variance,MWIR_coverage,LWIR_rmse,LWIR_variance,LWIR_coverage
"Mica Schist (Ward83)",Ward83,becknic,rock,rock.metamorphic.schist.solid.vswir.ward83.jpl.perkin.spectrum.txt,0.000289,0.999840,0.883721,0.002205,0.924654,1.000000,0.001395,0.994116,1.000000,0.000516,1.000000,0.000000,0.000361,1.000000,0.000000
"Hornblende Schist (Ward86)",Ward86,becknic,rock,rock.metamorphic.schist.solid.vswir.ward86.jpl.perkin.spectrum.txt,0.000232,0.997709,0.883721,0.000509,0.831234,1.000000,0.001351,0.998810,1.000000,0.000550,1.000000,0.000000,0.000359,1.000000,0.000000
"Tourmaline-Mica Schist (Ward89)",Ward89,becknic,rock,rock.metamorphic.schist.solid.vswir.ward89.jpl.perkin.spectrum.txt,0.000377,0.996578,0.883721,0.000808,0.989572,1.000000,0.003861,0.989262,1.000000,0.000515,1.000000,0.000000,0.000372,1.000000,0.000000
"Quartz-Sericite Schist (Ward90)",Ward90,becknic,rock,rock.metamorphic.schist.solid.vswir.ward90.jpl.perkin.spectrum.txt,0.001953,0.999497,0.883721,0.002232,0.899882,1.000000,0.006164,0.995924,1.000000,0.000771,1.000000,0.000000,0.000621,1.000000,0.000000
"Serpentine (Ward99)",Ward99,becknic,rock,rock.metamorphic.serpentinite.solid.all.ward99.jpl.nicolet.spectrum.txt,0.000506,1.000000,0.000000,0.000474,1.000000,0.000000,0.002717,0.974584,0.357286,0.001881,0.991361,1.000000,0.004772,0.996709,1.000000
"Serpentine (Ward99)",Ward99,becknic,rock,rock.metamorphic.serpentinite.solid.vswir.ward99.jpl.perkin.spectrum.txt,0.001382,0.992488,0.883721,0.002244,0.672690,1.000000,0.002312,0.996576,1.000000,0.000551,1.000000,0.000000,0.000360,1.000000,0.000000
"Gray Slate (slate1)",slate1,becknic,rock,rock.metamorphic.slate.coarse.all.slate1.jhu.becknic.spectrum.txt,0.000905,0.992978,0.883721,0.001094,0.908949,1.000000,0.001347,0.990063,1.000000,0.002129,0.996192,1.000000,0.001695,0.997396,0.883671
"Green Slate (slate2)",slate2,becknic,rock,rock.metamorphic.slate.coarse.all.slate2.jhu.becknic.spectrum.txt,0.001152,0.972929,0.883721,0.000972,0.588526,1.000000,0.004112,0.997679,1.000000,0.002449,0.998810,1.000000,0.000948,0.996840,0.883671
"Chiastolic Slate (slate3)",slate3,becknic,rock,rock.metamorphic.slate.coarse.all.slate3.jhu.becknic.spectrum.txt,0.000564,0.962923,0.883721,0.000551,0.963684,1.000000,0.000539,0.991240,1.000000,0.000369,0.996005,1.000000,0.000632,0.998933,0.883671
"Gray Slate (slate1)",slate1,becknic,rock,rock.metamorphic.slate.fine.all.slate1.jhu.becknic.spectrum.txt,0.002331,0.997078,0.883721,0.001828,0.974883,1.000000,0.002240,0.992875,1.000000,0.008657,0.996580,1.000000,0.002729,0.974959,0.998000
"Green Slate (slate2)",slate2,becknic,rock,rock.metamorphic.slate.fine.all.slate2.jhu.becknic.spectrum.txt,0.001961,0.995273,0.883721,0.001899,0.992891,1.000000,0.003890,0.999040,1.000000,0.006294,0.998828,1.000000,0.001044,0.999121,0.998000
