# wavelength_nm, reflectance
1100.0, 0.516900
1120.0, 0.535900
1140.0, 0.549600
1160.0, 0.559000
1180.0, 0.565700
1200.0, 0.570600
1220.0, 0.577700
1240.0, 0.585400
1260.0, 0.590700
1280.0, 0.594800
1300.0, 0.598600
1320.0, 0.602100
1340.0, 0.605200
1360.0, 0.607000
1380.0, 0.607700
1400.0, 0.608000
1420.0, 0.608800
1440.0, 0.611900
1460.0, 0.617000
1480.0, 0.622400
1500.0, 0.626900
1520.0, 0.630900
1540.0, 0.634200
1560.0, 0.637200
1580.0, 0.640600
1600.0, 0.643700
1620.0, 0.646000
1640.0, 0.647200
1660.0, 0.642800
1680.0, 0.639900
1700.0, 0.633300
1720.0, 0.625100
1740.0, 0.634400
1760.0, 0.639200
1780.0, 0.650100
1800.0, 0.655500
1820.0, 0.659200
1840.0, 0.663100
1860.0, 0.667400
1880.0, 0.670900
1900.0, 0.669300
1920.0, 0.668700
1940.0, 0.671300
1960.0, 0.676900
1980.0, 0.683200
2000.0, 0.687800
2020.0, 0.687800
2040.0, 0.685900
2060.0, 0.686200
2080.0, 0.687000
2100.0, 0.688700
2120.0, 0.688300
2140.0, 0.685000
2160.0, 0.687600
2180.0, 0.692400
2200.0, 0.694200
2220.0, 0.690900
2240.0, 0.672100
2260.0, 0.638332
2280.0, 0.619290
2300.0, 0.586780
2320.0, 0.597144
2340.0, 0.598996
2360.0, 0.597070
2380.0, 0.607582
2400.0, 0.609536
2420.0, 0.611802
2440.0, 0.621888
2460.0, 0.619652
2480.0, 0.627176
2500.0, 0.634510
2520.0, 0.641966
2540.0, 0.651080
2560.0, 0.662374
2580.0, 0.673170
2600.0, 0.673966
2620.0, 0.678534
2640.0, 0.682414
2660.0, 0.681102
2680.0, 0.681940
2700.0, 0.654598
2720.0, 0.601090
2740.0, 0.562440
2760.0, 0.503302
2780.0, 0.446894
2800.0, 0.327712
2820.0, 0.220472
2840.0, 0.167084
2860.0, 0.145638
2880.0, 0.131584
2900.0, 0.129632
2920.0, 0.135190
2940.0, 0.138994
2960.0, 0.146158
2980.0, 0.148588
3000.0, 0.156264
3020.0, 0.161060
3040.0, 0.167612
3060.0, 0.168694
3080.0, 0.163778
3100.0, 0.157776
3120.0, 0.153082
3140.0, 0.143682
3160.0, 0.134508
3180.0, 0.134220
3200.0, 0.137996
3220.0, 0.148264
3240.0, 0.162270
3260.0, 0.181014
3280.0, 0.205388
3300.0, 0.212152
3320.0, 0.195384
3340.0, 0.159716
3360.0, 0.093216
3380.0, 0.052828
3400.0, 0.045359
3420.0, 0.049556
3440.0, 0.056285
3460.0, 0.070290
3480.0, 0.072649
3500.0, 0.055306
3520.0, 0.115810
3540.0, 0.242676
3560.0, 0.307912
3580.0, 0.349464
3600.0, 0.378742
3620.0, 0.395776
3640.0, 0.408178
3660.0, 0.416916
3680.0, 0.428878
3700.0, 0.439656
3720.0, 0.442110
3740.0, 0.445636
3760.0, 0.452666
3780.0, 0.460960
3800.0, 0.466928
3820.0, 0.476428
3840.0, 0.486606
3860.0, 0.494288
3880.0, 0.504036
3900.0, 0.514102
3920.0, 0.526188
3940.0, 0.538050
3960.0, 0.548130
3980.0, 0.559848
4000.0, 0.570464
4020.0, 0.580986
4040.0, 0.590386
4060.0, 0.601160
4080.0, 0.609478
4100.0, 0.615962
4120.0, 0.617424
4140.0, 0.621444
4160.0, 0.627856
4180.0, 0.633844
4200.0, 0.638104
4220.0, 0.643342
4240.0, 0.645542
4260.0, 0.646220
4280.0, 0.645924
4300.0, 0.651208
4320.0, 0.659248
4340.0, 0.664142
4360.0, 0.668566
4380.0, 0.674156
4400.0, 0.675550
4420.0, 0.676086
4440.0, 0.677372
4460.0, 0.680396
4480.0, 0.683058
4500.0, 0.685772
4520.0, 0.688262
4540.0, 0.687674
4560.0, 0.687444
4580.0, 0.687960
4600.0, 0.687414
4620.0, 0.686788
4640.0, 0.685076
4660.0, 0.683950
4680.0, 0.682632
4700.0, 0.683202
4720.0, 0.680126
4740.0, 0.676684
4760.0, 0.674820
4780.0, 0.674862
4800.0, 0.676150
4820.0, 0.676432
4840.0, 0.676298
4860.0, 0.674832
4880.0, 0.671976
4900.0, 0.666318
4920.0, 0.659328
4940.0, 0.656962
4960.0, 0.651292
4980.0, 0.642634
5000.0, 0.632978
5100.0, 0.622552
5200.0, 0.630455
